file_path,text,label
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_back_angry.wav,Say the word back,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bar_angry.wav,Say the word bar,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_base_angry.wav,Say the word base,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bath_angry.wav,Say the word bath,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bean_angry.wav,Say the word bean,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_beg_angry.wav,Say the word beg,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bite_angry.wav,Say the word bite,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_boat_angry.wav,Say the word boat,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bone_angry.wav,Say the word bone,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_book_angry.wav,Say the word book,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_bought_angry.wav,Say the word bought,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_burn_angry.wav,Say the word burn,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_cab_angry.wav,Say the word cab,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_calm_angry.wav,Say the word calm,angry
C:\Users\harip\Desktop\RESUMES\Multimodal-Emotion-Recognition-IIITH\dataset\OAF_angry\OAF_came_angry.wav,Say the word came,angry
